FID,id,The_geom,fid,Nome,Status,Endereço,Bairro,Território,Regional,Contato,Funcionamento,Data da criação,x,y,Fonte,ano_ref,epsg_codif
vw_RedeCuca.fid--780b70dd_194f2cc3853_-226f,1,POINT (-38.587621958922284 -3.7006029934908957),1,CUCA Barra do Ceará,Em funcionamento,"Av. Pres. Castelo Branco, 6417",Barra do Ceará,3,SER 1,32114300,"Terça a sexta, 8h às 22h, e sábado, 8h às 18h.",2020-11-03T00:00:00,545792.707,9590955.838,"Dados da SEJUV, georreferenciado por IPLANFOR.",2023,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8
vw_RedeCuca.fid--780b70dd_194f2cc3853_-226e,2,POINT (-38.58006364554422 -3.806146158417361),2,CUCA do Mondubim,Em funcionamento,R. Prof. Glauco Lobo,Novo Mundubim,34,SER 10,34990018,"Terça a sexta, 8h às 22h, e sábado, 8h às 18h.",2020-11-03T00:00:00,546626.44,9579288.938,"Dados da SEJUV, georreferenciado por IPLANFOR.",2023,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8
vw_RedeCuca.fid--780b70dd_194f2cc3853_-226d,3,POINT (-38.52068118863793 -3.831007116266548),3,CUCA do Jangurussu,Em funcionamento,"Av. Castelo de Castro esq Av. Contorno Leste, s/n",Jangurussu,32,SER 9,34446201,"Terça a sexta, 8h às 22h, e sábado, 8h às 18h.",2020-11-03T00:00:00,553218.416,9576537.402,"Dados da SEJUV, georreferenciado por IPLANFOR.",2023,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8
vw_RedeCuca.fid--780b70dd_194f2cc3853_-226c,4,POINT (-38.55499980587214 -3.8305378874026994),4,CUCA José Walter,Em funcionamento,R. 69 ,José Walter,21,SER 8,0,"Terça a sexta, 8h às 22h, e sábado, 8h às 18h.",2020-11-03T00:00:00,549407.992,9576591.324,"Dados da SEJUV, georreferenciado por IPLANFOR.",2023,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8
vw_RedeCuca.fid--780b70dd_194f2cc3853_-226b,5,POINT (-38.58217274977966 -3.752488737166629),5,CUCA Pici,Em funcionamento,"R. Cel. Matos Dourado, 1499",Pici,36,SER 11,0,"Terça a sexta, 8h às 22h, e sábado, 8h às 18h.",2020-11-03T00:00:00,546395.109,9585220.225,"Dados da SEJUV, georreferenciado por IPLANFOR.",2023,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8
