FID,id,The_geom,nome,tipo,data_inaug,status,endereco,bairro,cod_bairro,regional,territorio,orgao,inaugurado,fonte,epsg_codf,x,y,ano_ref
vw_Areninhas.fid--780b70dd_194f2cc3853_-2349,61,POINT (-38.468264528733975 -3.751329434067292),Areninha Cidade 2000 I,Mini Areninha,2020-09-04,Concluído,"Av. das Castanholeiras, 155",Cidade 2000,111,SER 7,23,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,559043.762,9585341.514,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2348,62,POINT (-38.475254479890516 -3.753133961819731),Areninha Cidade 2000 II,Areninha,2021-09-03,Concluído,"Avenida das Adenanteras, n° 155",Cidade 2000,111,SER 7,23,GOV/SEMA,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558267.4583,9585142.5112,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2347,63,POINT (-38.590750959177754 -3.790500670654641),Areninha Bom Sucesso,Mini Areninha,2020-09-25,Concluído,Rua Santa Teresinha,Bonsucesso,73,SER 5,39,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545440.603,9581018.925,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2346,64,POINT (-38.532377363386075 -3.7721301069141235),Areninha Lagoa do Opaia,Mini Areninha,2020-09-26,Concluído,Av. Lauro Vieira Chaves,Aeroporto,92,SER 4,18,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,551923.29,9583046.302,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2345,65,POINT (-38.506226062074276 -3.845926425641378),Areninha dos Cajueiros,Mini Areninha,2020-10-09,Concluído,Travessa Nunes Feijó com Rua Frei Geraldo e rua Padre Luiz,Jangurussu,61,SER 9,32,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554822.4452,9574887.3245,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2344,66,POINT (-38.58404366845824 -3.6999123534422957),Areninha Campo do São Pedro,Areninha,2020-10-09,Concluído,Rua Irmã Ana Maria com rua Larga e rua Graça Alcançada,Barra do Ceará,6,SER 1,3,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,546190.102,9591031.994,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2343,67,POINT (-38.51120653077967 -3.783700835767313),Areninha Complexo Polisportivo doTancredo Neves,Mini Areninha,2020-11-20,Concluído,"Rua Lago, s/n",Jardim das Oliveiras,62,SER 6,27,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554273.367,9581765.995,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2342,68,POINT (-38.51774651952174 -3.8293859674386304),Areninha Jangurussu (Campo do Estrela),Mini Areninha,2020-12-14,Concluído,Rua josé Pinto 414 com Marotilde de Queiróz,Jangurussu,61,SER 9,32,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,553544.3581,9576716.4197,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2341,69,POINT (-38.548032887541254 -3.755076899271973),Areninha Gustavo Braga,Mini Areninha,2020-12-22,Concluído,Avenida João Pessoa s/n (Polo de lazer Gustavo Braga),Damas,13,SER 4,16,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,550185.8917,9584932.2513,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2340,70,POINT (-38.51033455091122 -3.7646320482283318),Areninha Alto da Balança,Mini Areninha,2020-12-24,Concluído,Rua Capitão Aragão com Rua Piloto,Alto da Balança,93,SER 6,26,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554371.3761,9583873.7833,2021
